Id,Prediction
r13_c4,5
r8_c4,5
r7_c4,5
r16_c4,5
r9_c4,5
r15_c4,5
r11_c4,5
r19_c4,5
r14_c4,5
r20_c4,5
r6_c4,3
r1_c4,5
r3_c4,5
r2_c4,5
r12_c4,4
r10_c12,5
r13_c12,5
r8_c12,4
r7_c12,5
r18_c12,5
r16_c12,5
r9_c12,5
r17_c12,5
r15_c12,5
r11_c12,3
r19_c12,5
r20_c12,3
r6_c12,2
r1_c12,5
r4_c12,3
r3_c12,5
r2_c12,5
r12_c12,4
r10_c7,5
r8_c7,5
r7_c7,3
r18_c7,5
r5_c7,5
r16_c7,5
r9_c7,5
r17_c7,5
r15_c7,5
r19_c7,3
r14_c7,5
r6_c7,5
r1_c7,5
r4_c7,4
r3_c7,3
r12_c7,5
r10_c10,5
r13_c10,5
r8_c10,5
r7_c10,5
r5_c10,5
r16_c10,5
r9_c10,4
r17_c10,5
r11_c10,5
r19_c10,5
r6_c10,4
r1_c10,5
r4_c10,5
r3_c10,5
r2_c10,5
r10_c16,5
r13_c16,3
r8_c16,5
r7_c16,3
r18_c16,5
r9_c16,5
r17_c16,5
r15_c16,5
r19_c16,3
r14_c16,5
r20_c16,3
r6_c16,5
r1_c16,4
r4_c16,4
r3_c16,3
r2_c16,5
r12_c16,4
r10_c11,5
r8_c11,5
r7_c11,3
r5_c11,4
r9_c11,5
r15_c11,4
r11_c11,5
r14_c11,5
r20_c11,5
r6_c11,5
r1_c11,5
r3_c11,3
r2_c11,3
r12_c11,3
r10_c5,5
r13_c5,5
r8_c5,5
r7_c5,5
r18_c5,5
r5_c5,5
r16_c5,5
r9_c5,5
r17_c5,5
r11_c5,5
r19_c5,5
r20_c5,4
r1_c5,5
r4_c5,5
r3_c5,5
r2_c5,3
r12_c5,5
r10_c1,5
r13_c1,5
r8_c1,5
r7_c1,5
r18_c1,5
r5_c1,5
r16_c1,5
r9_c1,5
r17_c1,5
r15_c1,5
r19_c1,5
r14_c1,5
r20_c1,5
r6_c1,5
r1_c1,5
r4_c1,5
r3_c1,5
r2_c1,5
r12_c1,5
r10_c9,5
r13_c9,5
r8_c9,5
r7_c9,5
r18_c9,5
r5_c9,5
r16_c9,5
r17_c9,5
r15_c9,5
r11_c9,5
r19_c9,5
r14_c9,5
r20_c9,5
r1_c9,5
r4_c9,5
r3_c9,5
r12_c9,5
r10_c13,5
r13_c13,5
r8_c13,3
r7_c13,3
r18_c13,5
r5_c13,3
r16_c13,5
r9_c13,5
r17_c13,5
r15_c13,5
r19_c13,5
r14_c13,5
r20_c13,5
r6_c13,5
r1_c13,5
r4_c13,4
r3_c13,5
r2_c13,5
r12_c13,5
r10_c15,5
r13_c15,4
r7_c15,2
r18_c15,5
r5_c15,5
r16_c15,3
r9_c15,5
r11_c15,5
r19_c15,5
r14_c15,3
r20_c15,5
r6_c15,5
r1_c15,5
r3_c15,5
r2_c15,5
r12_c15,4
r13_c18,5
r8_c18,4
r7_c18,5
r18_c18,5
r5_c18,5
r16_c18,5
r17_c18,5
r15_c18,5
r11_c18,3
r14_c18,5
r20_c18,5
r6_c18,3
r1_c18,5
r4_c18,4
r2_c18,5
r12_c18,5
r8_c3,5
r7_c3,5
r18_c3,3
r5_c3,5
r9_c3,5
r15_c3,5
r11_c3,5
r14_c3,5
r20_c3,4
r1_c3,5
r4_c3,5
r2_c3,4
r10_c6,5
r13_c6,5
r18_c6,5
r5_c6,5
r16_c6,5
r17_c6,3
r15_c6,5
r11_c6,5
r19_c6,5
r14_c6,5
r6_c6,4
r1_c6,5
r4_c6,4
r3_c6,5
r2_c6,5
r12_c6,5
r10_c20,5
r13_c20,5
r18_c20,4
r5_c20,4
r16_c20,5
r9_c20,5
r17_c20,5
r15_c20,5
r11_c20,5
r19_c20,5
r14_c20,4
r6_c20,3
r1_c20,5
r4_c20,2
r3_c20,4
r2_c20,5
r12_c20,5
r10_c2,5
r8_c2,4
r7_c2,5
r18_c2,4
r5_c2,5
r16_c2,5
r17_c2,5
r15_c2,5
r11_c2,4
r20_c2,4
r6_c2,5
r1_c2,4
r4_c2,5
r2_c2,3
r12_c2,4
r13_c17,4
r8_c17,5
r7_c17,5
r18_c17,5
r5_c17,5
r9_c17,4
r17_c17,5
r15_c17,4
r11_c17,4
r19_c17,5
r14_c17,4
r20_c17,5
r6_c17,5
r4_c17,5
r3_c17,3
r2_c17,5
r10_c8,5
r13_c8,5
r8_c8,5
r18_c8,5
r5_c8,5
r16_c8,5
r9_c8,5
r17_c8,5
r15_c8,5
r11_c8,5
r19_c8,4
r14_c8,5
r20_c8,5
r6_c8,5
r1_c8,5
r4_c8,5
r3_c8,5
r2_c8,5
r12_c8,5
r10_c19,5
r13_c19,5
r7_c19,5
r16_c19,5
r9_c19,3
r17_c19,4
r15_c19,5
r11_c19,5
r19_c19,4
r14_c19,5
r20_c19,4
r6_c19,5
r1_c19,5
r4_c19,4
r3_c19,4
r12_c19,5
r10_c14,5
r13_c14,5
r8_c14,5
r18_c14,5
r5_c14,5
r16_c14,5
r9_c14,5
r17_c14,5
r11_c14,5
r19_c14,3
r14_c14,4
r20_c14,4
r1_c14,5
r4_c14,5
r3_c14,3
r2_c14,5
